Song,Combination Number,A_Melody1.wav,B_Melody2.wav,C_Melody3.wav,E_Harmony1.wav,F_Harmony2.wav,H_AddVoice1.wav,I_AddVoice2.wav,J_AddVoice3.wav,L_Bass1.wav,M_Bass2.wav,O_BassDrum.wav,P_Percussion.wav,Q_Ambient1.wav,R_Ambient2.wav,S_Ambient3.wav,Output File
Ants Go Marching,2206,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2206.wav
Ants Go Marching,2207,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2207.wav
Ants Go Marching,2237,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2237.wav
Ants Go Marching,2238,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2238.wav
Ants Go Marching,2239,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2239.wav
Ants Go Marching,2253,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2253.wav
Ants Go Marching,2254,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2254.wav
Ants Go Marching,2255,OFF,OFF,ON,OFF,ON,OFF,ON,OFF,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2255.wav
Ants Go Marching,2285,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2285.wav
Ants Go Marching,2286,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2286.wav
Ants Go Marching,2287,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2287.wav
Ants Go Marching,2301,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2301.wav
Ants Go Marching,2302,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2302.wav
Ants Go Marching,2303,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,ON,Combined_Songs\Ants Go Marching_combined_songs\Ants Go Marching_combination_2303.wav
Row Row Row,845,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,ON,OFF,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_845.wav
Row Row Row,846,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,OFF,ON,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_846.wav
Row Row Row,847,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,ON,OFF,ON,ON,OFF,OFF,ON,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_847.wav
Row Row Row,861,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,ON,ON,OFF,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_861.wav
Row Row Row,862,ON,OFF,OFF,ON,OFF,ON,OFF,OFF,OFF,ON,ON,ON,OFF,ON,OFF,Combined_Songs\Row Row Row_combined_songs\Row Row Row_combination_862.wav
